RTSA-04-RS-PAE-CGO_SW-226 172.16.186.51 660
RTSA-01-RS-PAE-VOZ_SW-224 172.16.184.132 646
SWAC-05-SP-SPO-BRF 10.255.3.4 281
SWAC-01-SP-SPO-NVA 10.255.3.40 98
RTSA-02-SP-SPO-GCO 172.31.111.211 0
SWAC-03-RS-PAE-HMT 172.16.58.91 175
RTSA-02-SP-SPO-PDM 10.255.3.68 89
SWAC-01-RS-POI-TEL-POI 172.16.186.155 165
rtsa-01-sp-spo-brf 10.255.3.3 139
RTSA-03-RS-PAE-CGO 172.16.61.74 152
SWAC-06-SP-SPO-GMM 10.255.3.39 76
SW-STE-01-CR-X670-001 10.150.109.3 148
RTSA-01-RS-CAN-CSU-AIRSW-197 172.16.5.157 142
RTSA-03-RS-PAE-STC 172.16.184.227 145
RJ.RJO.RB1.SW.EX.004 10.255.4.4 139
RTSA-02-RS-PAE-CGO 172.16.9.252 123
RTSA-02-SP-SPO-CAT 10.255.3.42 64
RTSA-01-SP-DTC-TVT3-POI 172.24.23.94 123
SWAC-13-RS-PAE-STC 172.16.187.187 113
RTSA-01-SP-POI-CTBC-POI 10.255.3.56 94
RTSA-01-SP-SPO-CSL 10.255.3.37 58
RTSA-01-SP-DTC-MTX-POI 10.255.3.26 48
SWAC-ISP-01-RS-PAE-JOA 172.16.9.222 99
RTSA-01-SP-DTC-TMK-POI 10.255.3.57 86
RTSA-01-RS-POI-LV3-POI 172.16.0.109 95
RTSA-01-SP-SPO-ACL 10.255.3.58 59
RTSA-02-PAE-STC 172.16.184.91 84
RTSA-01-RS-PAE-PTS 172.16.172.52 84
SWAC-02-SP-SPO-TTP 10.255.3.84 63
RTSA-01-SP-SPO-BRX 10.255.3.54 68
RTSA-01-RS-CHN-CHN 172.16.179.178 83
rtsa-01-sp-grs-gru 10.255.3.67 65
RJ.RJO.CPG.SW.EX.003 10.255.4.3 79
RTSA-03-SP-CAS-CAS 10.255.3.59 56
RTSA-01-RS-EIO-EST 172.16.153.123 75
RTSA-02-SP-OCO-OCO 10.255.3.126 67
RTSA-01-SP-SPO-AIR 10.255.3.35 42
RTSA-01-SP-SPO-VLO 10.255.3.137 67
RTSA-01-RS-DSR-DOI 172.16.14.67 65
SWAC-01-SP-SPO-PJD 10.255.3.141 63
RJ.RJO.ALG2.SW.EX.005 10.255.4.5 62
RTSA-01-SP-SPO-VGE 10.255.3.38 33
BA.SDR.CDA.SW.EX.147 10.255.147.0 52
RTSA-01-RS-PAE-RNP-POI-SW525 10.255.0.23 58
SWAC-05-SP-SPO-BSA 10.255.3.83 43
RTSA-02-SP-SCN-SCS 10.255.3.78 42
RJ.RJO.TVT.SW.EX.012 10.255.4.12 53
RTSA-02-SP-DTC-LV3-POI 10.255.0.92 58
SWAC-06-SP-SPO-VCR 10.255.3.132 52
RTSA-03-RS-PAS-PA2-DC1 172.16.103.218 52
RTSA-01-SP-CJR-POL 10.255.3.22 49
CUV-Z07-01-CR-X670-001 10.150.109.6 50
RTSA-01-SP-POI-OI-POI 10.255.3.105 36
SWAC-01-RS-PAE-IDC 172.16.187.82 50
RJ.RJO.LV3.SW.EX.011 10.255.4.11 47
RTSA-04-RS-PAE-STC 172.16.249.90 45
SWAC-03-SP-IAQ-ITQ 10.255.3.131 35
